STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY25 Lodging Rate,FY25 M&IE
AL,Birmingham,Jefferson,,,126,80
AL,Gulf Shores,Baldwin,October 1,February 28,134,74
AL,Gulf Shores,Baldwin,March 1,May 31,163,74
AL,Gulf Shores,Baldwin,June 1,July 31,216,74
AL,Gulf Shores,Baldwin,August 1,September 30,134,74
AL,Huntsville,Madison,October 1,March 31,141,74
AL,Huntsville,Madison,April 1,July 31,134,74
AL,Huntsville,Madison,August 1,September 30,141,74
AL,Mobile,Mobile,,,114,74
AR,Hot Springs,Garland,,,114,68
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,144,80
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 28,110,80
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,September 30,144,80
AZ,Kayenta,Navajo,,,145,74
AZ,Phoenix / Scottsdale,Maricopa,October 1,January 31,160,86
AZ,Phoenix / Scottsdale,Maricopa,February 1,March 31,229,86
AZ,Phoenix / Scottsdale,Maricopa,April 1,May 31,161,86
AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,113,86
AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,160,86
AZ,Sedona,City Limits of Sedona,October 1,December 31,213,92
AZ,Sedona,City Limits of Sedona,January 1,February 28,164,92
AZ,Sedona,City Limits of Sedona,March 1,April 30,274,92
AZ,Sedona,City Limits of Sedona,May 1,August 31,183,92
AZ,Sedona,City Limits of Sedona,September 1,September 30,213,92
AZ,Tucson,Pima,October 1,December 31,123,80
AZ,Tucson,Pima,January 1,March 31,171,80
AZ,Tucson,Pima,April 1,September 30,123,80
CA,Antioch / Brentwood / Concord,Contra Costa,,,147,86
CA,Bakersfield / Ridgecrest,Kern,,,132,74
CA,Barstow / Ontario / Victorville,San Bernardino,,,124,86
CA,Death Valley,Inyo / NAWS China Lake,,,142,80
CA,Eureka / Arcata / McKinleyville,Humboldt,October 1,May 31,125,86
CA,Eureka / Arcata / McKinleyville,Humboldt,June 1,August 31,172,86
CA,Eureka / Arcata / McKinleyville,Humboldt,September 1,September 30,125,86
CA,Fresno,Fresno,,,129,86
CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,,,191,86
