country_code,region_name,iata,icao,airport,latitude,longitude
US,Alabama,AIV,KAIV,George Downer Airport,33.1065,-88.1978
US,Alabama,ALX,KALX,Thomas C. Russell Field,32.9147,-85.963
US,Alabama,ANB,KANB,Anniston Regional Airport,33.5882,-85.8581
US,Alabama,ASN,KASN,Talladega Municipal Airport,33.5699,-86.0509
US,Alabama,AUO,KAUO,Auburn University Regional Airport,32.6151,-85.434
US,Alabama,BFM,KBFM,Mobile Downtown Airport,30.6268,-88.0681
US,Alabama,BHM,KBHM,Birmingham-Shuttlesworth International Airport,33.5629,-86.7535
US,Alabama,DCU,KDCU,Pryor Field Regional Airport,34.6527,-86.9454
US,Alabama,DHN,KDHN,Dothan Regional Airport,31.3213,-85.4496
US,Alabama,ETS,KEDN,Enterprise Municipal Airport,31.2997,-85.8999
US,Alabama,EUF,KEUF,Weedon Field,31.9513,-85.1289
US,Alabama,GAD,KGAD,Northeast Alabama Regional Airport,33.9726,-86.089
US,Alabama,GUF,KJKA,Jack Edwards Airport,30.2905,-87.6718
US,Alabama,HAB,KHAB,Marion County - Rankin Fite Airport,34.1176,-87.9982
US,Alabama,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),34.6372,-86.7751
US,Alabama,HUA,KHUA,Redstone Army Airfield,34.6787,-86.6848
US,Alabama,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),32.3006,-86.394
US,Alabama,MOB,KMOB,Mobile Regional Airport,30.6912,-88.2428
US,Alabama,MSL,KMSL,Northwest Alabama Regional Airport,34.7453,-87.6102
US,Alabama,MVC,KMVC,Monroe County Airport,31.458,-87.351
US,Alabama,MXF,KMXF,Maxwell Air Force Base,32.3829,-86.3658
US,Alabama,NHX,KNBJ,NOLF Barin,30.3891,-87.6353
US,Alabama,OZR,KOZR,Cairns Army Airfield,31.2757,-85.7134
US,Alabama,PLR,KPLR,St. Clair County Airport,33.5588,-86.2491
US,Alabama,SEM,KSEM,Craig Field,32.3439,-86.9878
US,Alabama,TCL,KTCL,Tuscaloosa Regional Airport,33.2206,-87.6114
US,Alabama,TGE,,Sharpe Field,32.4919,-85.7756
