meeting_airport,total_cost,path1,cost1,path2,cost2,path3,cost3
ORD,444,MSP->ORD,89,LAX->ORD,149,HOU->ORD,206
MSP,490,MSP,0,LAX->DEN->MSP,222,HOU->MSP,268
DEN,494,MSP->DEN,106,LAX->DEN,116,HOU->DSM->DEN,272
LAX,520,MSP->DEN->LAX,222,LAX,0,HOU->BOI->SEA->LAX,298
SEA,527,MSP->SEA,229,LAX->SEA,74,HOU->BOI->SEA,224
BOI,535,MSP->DEN->BOI,237,LAX->SEA->BOI,126,HOU->BOI,172
DSM,564,MSP->ORD->DSM,178,LAX->DSM,221,HOU->DSM,165
HOU,566,MSP->HOU,268,LAX->SEA->BOI->HOU,298,HOU,0
DTW,587,MSP->ORD->DTW,175,LAX->ORD->DTW,235,HOU->DTW,177
EWR,598,MSP->EWR,150,LAX->EWR,162,HOU->ATL->EWR,286
SFO,607,MSP->DEN->SFO,243,LAX->SFO,77,HOU->BOI->SEA->SFO,287
SJC,610,MSP->DEN->SJC,218,LAX->SJC,105,HOU->BOI->SEA->SJC,287
PSP,618,MSP->DEN->PSP,242,LAX->SFO->PSP,175,HOU->PSP,201
PDX,620,MSP->DEN->PDX,236,LAX->SEA->PDX,117,HOU->BOI->SEA->PDX,267
GRR,621,MSP->ORD->GRR,148,LAX->ORD->GRR,208,HOU->ORD->GRR,265
SAN,623,MSP->DEN->SAN,273,LAX->SAN,58,HOU->BOI->SAN,292
SMF,627,MSP->DEN->SMF,234,LAX->SMF,108,HOU->BOI->SEA->SMF,285
JFK,629,MSP->ORD->JFK,183,LAX->JFK,182,HOU->ATL->JFK,264
DAY,630,MSP->ORD->DAY,188,LAX->ORD->DAY,248,HOU->DAY,194
MFR,634,MSP->MFR,238,LAX->MFR,120,HOU->BOI->SEA->MFR,276
PHX,635,MSP->DEN->PHX,246,LAX->PHX,86,HOU->BOI->SEA->PHX,303
IAH,637,MSP->IAH,158,LAX->IAH,148,HOU->ATL->IAH,331
LAS,637,MSP->ORD->LAS,269,LAX->LAS,74,HOU->BOI->SEA->LAS,294
MKE,642,MSP->ORD->MKE,156,LAX->ORD->MKE,216,HOU->MKE,270
SAT,642,MSP->ORD->SAT,219,LAX->SAT,113,HOU->SAT,310
AUS,643,MSP->DEN->AUS,232,LAX->AUS,101,HOU->AUS,310
RNO,646,MSP->DEN->RNO,240,LAX->RNO,97,HOU->RNO,309
PIA,651,MSP->ORD->PIA,158,LAX->ORD->PIA,218,HOU->ORD->PIA,275
MSN,651,MSP->ORD->MSN,158,LAX->ORD->MSN,218,HOU->ORD->MSN,275
GEG,658,MSP->SEA->GEG,276,LAX->SEA->GEG,121,HOU->GEG,261
PSC,662,MSP->SEA->PSC,274,LAX->SEA->PSC,119,HOU->BOI->SEA->PSC,269
BWI,664,MSP->BWI,168,LAX->BWI,178,HOU->ORD->BWI,318
COS,665,MSP->COS,188,LAX->DEN->COS,204,HOU->COS,273
BZN,667,MSP->ORD->BZN,253,LAX->SEA->BZN,132,HOU->BOI->SEA->BZN,282
EUG,668,MSP->SEA->EUG,276,LAX->SEA->EUG,121,HOU->BOI->SEA->EUG,271
RDM,668,MSP->SEA->RDM,276,LAX->SEA->RDM,121,HOU->BOI->SEA->RDM,271
CLE,671,MSP->ORD->CLE,190,LAX->ORD->CLE,250,HOU->CLE,231
IND,678,MSP->ORD->IND,167,LAX->ORD->IND,227,HOU->ORD->IND,284
MLI,681,MSP->ORD->MLI,168,LAX->ORD->MLI,228,HOU->ORD->MLI,285
CID,684,MSP->ORD->CID,169,LAX->ORD->CID,229,HOU->ORD->CID,286
CLT,689,MSP->ORD->CLT,186,LAX->ORD->CLT,246,HOU->CLT,257
LIT,695,MSP->LIT,279,LAX->LIT,246,HOU->LIT,170
OMA,698,MSP->DEN->OMA,194,LAX->OMA,190,HOU->ORD->OMA,314
AMA,699,MSP->AMA,277,LAX->AMA,210,HOU->AMA,212
TUS,699,MSP->TUS,274,LAX->TUS,119,HOU->BOI->SEA->TUS,306
BOS,707,MSP->ORD->BOS,214,LAX->BOS,224,HOU->DTW->BOS,269
FNT,708,MSP->ORD->FNT,177,LAX->ORD->FNT,237,HOU->ORD->FNT,294
LBB,709,MSP->LBB,242,LAX->LBB,270,HOU->LBB,197
ONT,711,MSP->ONT,265,LAX->SEA->ONT,148,HOU->BOI->SEA->ONT,298
MCI,717,MSP->ORD->MCI,208,LAX->MCI,184,HOU->ORD->MCI,325
ATL,718,MSP->EWR->ATL,280,LAX->MFE->ATL,282,HOU->ATL,156
BUF,718,MSP->ORD->BUF,201,LAX->ORD->BUF,261,HOU->BUF,256
BDL,719,MSP->ORD->BDL,270,LAX->BDL,144,HOU->BDL,305
TVC,723,MSP->ORD->TVC,182,LAX->ORD->TVC,242,HOU->ORD->TVC,299
PIT,726,MSP->ORD->PIT,193,LAX->PIT,223,HOU->ORD->PIT,310
ORF,726,MSP->ORD->ORF,203,LAX->ORD->ORF,263,HOU->ORF,260
